,index,team_id,fixture_id,starting_datetime,fixture_order
912168,912168,13342,402956,2008-03-16 16:00,21.5
912225,912225,7746,937362,2008-03-16 16:00,20.5
912444,912444,886,517396,2008-03-16 22:00,30.5
1899665,912443,886,504965,2008-03-16 22:00,30.5
913820,913820,11246,660343,2008-03-23 9:00,19.5
1901042,913820,11246,660343,2008-03-23 9:00,19.5
915168,915168,1526,73236,2008-03-29 14:00,14.5
915175,915175,1526,73243,2008-03-29 14:00,14.5
1902390,915168,203,73236,2008-03-29 14:00,12.5
1902397,915175,203,73243,2008-03-29 14:00,12.5
915459,915459,828,528717,2008-03-29 18:00,10.5
1902681,915459,828,528717,2008-03-29 18:00,10.5
915608,915608,11246,660352,2008-03-30 9:00,21.5
1902829,915607,11246,660351,2008-03-30 9:00,21.5
915741,915741,2276,654276,2008-03-30 12:45,27.5
1902958,915736,2276,653847,2008-03-30 12:45,27.5
915976,915976,7746,937397,2008-03-30 15:00,23.5
1903162,915940,7746,895244,2008-03-30 15:00,23.5
1904902,917680,5687,372628,2008-04-06 8:00,5.5
917680,917680,5687,372628,2008-04-06 8:00,5.5
917692,917692,11246,660358,2008-04-06 9:00,23.5
917693,917693,11246,660359,2008-04-06 9:00,23.5
1905419,918197,828,528730,2008-04-06 19:00,12.5
918197,918197,828,528730,2008-04-06 19:00,12.5
1905739,918517,7531,192858,2008-04-09 14:00,7.5
1905740,918518,6033,360990,2008-04-09 14:00,15.5
918513,918513,7531,192854,2008-04-09 14:00,7.5
1905736,918514,7548,192855,2008-04-09 14:00,8.5
918517,918517,7548,192858,2008-04-09 14:00,8.5
918529,918529,6033,368677,2008-04-09 14:00,15.5
919630,919630,2784,183021,2008-04-12 18:00,26.5
1906880,919658,2784,686891,2008-04-12 18:00,26.5
1909260,922038,26480,925196,2008-04-20 10:00,30.5
1909247,922025,13342,403006,2008-04-20 10:00,30.5
922034,922034,26480,901505,2008-04-20 10:00,30.5
922049,922049,13342,937492,2008-04-20 10:00,30.5
1911230,924008,2784,686913,2008-04-26 18:00,31.5
923987,923987,2784,183045,2008-04-26 18:00,31.5
1911982,924760,17421,596732,2008-04-28 22:00,10.5
1911983,924761,17421,596733,2008-04-28 22:00,10.5
926087,926087,828,528758,2008-05-03 21:10,17.5
1913309,926087,828,528758,2008-05-03 21:10,17.5
1913531,926309,2784,183056,2008-05-04 13:00,33.5
1913602,926380,2784,686929,2008-05-04 13:00,33.5
927177,927177,197,219591,2008-05-07 17:00,13.5
927181,927181,197,221454,2008-05-07 17:00,13.5
1915532,928310,11197,312037,2008-05-11 11:00,8.5
1915520,928298,11197,313981,2008-05-11 11:00,8.5
928359,928359,2784,183062,2008-05-11 13:00,35.5
928402,928402,2784,686951,2008-05-11 13:00,35.5
928653,928653,7746,937650,2008-05-11 16:00,36.5
1915849,928627,7746,895305,2008-05-11 16:00,36.5
928728,928728,10982,1037613,2008-05-11 19:00,36.5
928735,928735,10982,517491,2008-05-11 19:00,36.5
929194,929194,17902,629202,2008-05-15 22:00,1.5
1916416,929194,17902,629202,2008-05-15 22:00,1.5
929852,929852,828,528772,2008-05-17 18:30,20.5
1917074,929852,828,528772,2008-05-17 18:30,20.5
1917214,929992,11246,660413,2008-05-18 9:00,33.5
1917215,929993,11246,660415,2008-05-18 9:00,33.5
1917585,930363,7746,937679,2008-05-18 16:00,38.5
930317,930317,7746,895319,2008-05-18 16:00,38.5
930804,930804,17902,629205,2008-05-22 22:00,3.5
930805,930805,17902,629206,2008-05-22 22:00,3.5
1919071,931849,5687,372831,2008-05-28 15:00,26.5
1919074,931852,5687,372836,2008-05-28 15:00,26.5
931977,931977,17902,629213,2008-05-29 22:00,6.5
931978,931978,17902,629214,2008-05-29 22:00,6.5
932318,932318,828,528781,2008-05-31 18:00,22.5
1919540,932318,828,528781,2008-05-31 18:00,22.5
933612,933612,15575,539532,2008-06-14 1:15,8.5
1920833,933611,15769,539530,2008-06-14 1:15,8.5
933611,933611,15575,539530,2008-06-14 1:15,8.5
1920834,933612,15769,539532,2008-06-14 1:15,8.5
934198,934198,10581,539620,2008-06-20 22:00,9.5
934197,934197,10581,539618,2008-06-20 22:00,9.5
934887,934887,17902,629246,2008-06-28 19:00,17.5
1922108,934886,17902,629245,2008-06-28 19:00,17.5
1922343,935121,11246,660444,2008-06-30 22:00,37.5
1922342,935120,11246,660442,2008-06-30 22:00,37.5
935128,935128,27418,1507271,2008-07-01 11:45,16.5
935130,935130,27418,1507273,2008-07-01 11:45,16.5
1923115,935893,8134,553782,2008-07-11 22:00,17.5
1923131,935909,8134,553948,2008-07-11 22:00,17.5
935893,935893,16251,553782,2008-07-11 22:00,15.5
935909,935909,16251,553948,2008-07-11 22:00,15.5
1923902,936680,11246,660473,2008-07-20 9:00,41.5
936679,936679,11246,660471,2008-07-20 9:00,41.5
1924286,937064,17902,629270,2008-07-26 0:00,25.5
937063,937063,17902,629269,2008-07-26 0:00,25.5
937132,937132,5687,373000,2008-07-26 14:00,45.5
1924354,937132,5687,373000,2008-07-26 14:00,45.5
938315,938315,3672,471071,2008-08-03 19:00,48.5
938326,938326,3672,519069,2008-08-03 19:00,48.5
1925720,938498,11246,660497,2008-08-06 9:00,45.5
938498,938498,11246,660497,2008-08-06 9:00,45.5
1926706,939484,11246,660516,2008-08-10 9:00,47.5
939483,939483,11246,660514,2008-08-10 9:00,47.5
940552,940552,17902,629282,2008-08-16 0:00,29.5
940550,940550,17902,629280,2008-08-16 0:00,29.5
1928507,941285,11246,660528,2008-08-17 9:00,49.5
1928508,941286,11246,660530,2008-08-17 9:00,49.5
943064,943064,11246,660541,2008-08-24 9:00,51.5
943065,943065,11246,660546,2008-08-24 9:00,51.5
946270,946270,5687,373129,2008-09-05 14:00,63.5
1933491,946269,5687,373128,2008-09-05 14:00,63.5
949709,949709,10779,492630,2008-09-14 17:00,57.5
1936935,949713,10779,493929,2008-09-14 17:00,57.5
952109,952109,828,526982,2008-09-21 18:30,26.5
1939331,952109,828,526982,2008-09-21 18:30,26.5
953053,953053,17902,629315,2008-09-27 0:00,39.5
953051,953051,17902,629313,2008-09-27 0:00,39.5
954688,954688,7762,519149,2008-09-28 19:00,45.5
954673,954673,7762,448909,2008-09-28 19:00,45.5
954669,954669,10982,1038186,2008-09-28 19:00,65.5
1941910,954688,10982,519149,2008-09-28 19:00,65.5
1944108,956886,828,527019,2008-10-05 18:30,29.5
956886,956886,828,527019,2008-10-05 18:30,29.5
1944126,956904,7762,448929,2008-10-05 19:00,47.5
956917,956917,7762,519157,2008-10-05 19:00,47.5
1945354,958132,8061,732560,2008-10-11 22:00,8.5
958125,958125,21844,732550,2008-10-11 22:00,8.5
958101,958101,21612,732537,2008-10-11 22:00,8.5
958129,958129,21631,732554,2008-10-11 22:00,9.5
958131,958131,8059,732557,2008-10-11 22:00,22.5
958132,958132,8015,732560,2008-10-11 22:00,8.5
958134,958134,21844,732564,2008-10-11 22:00,8.5
958136,958136,28336,732567,2008-10-11 22:00,8.5
958141,958141,8025,732570,2008-10-11 22:00,8.5
958144,958144,21819,732572,2008-10-11 22:00,8.5
958148,958148,21612,732577,2008-10-11 22:00,8.5
958122,958122,5344,732547,2008-10-11 22:00,8.5
958095,958095,21611,732533,2008-10-11 22:00,8.5
1945356,958134,28603,732564,2008-10-11 22:00,8.5
958088,958088,21819,732525,2008-10-11 22:00,8.5
958080,958080,21631,732521,2008-10-11 22:00,9.5
958073,958073,28336,732516,2008-10-11 22:00,8.5
958150,958150,21611,732579,2008-10-11 22:00,8.5
1945347,958125,8015,732550,2008-10-11 22:00,8.5
1945344,958122,7391,732547,2008-10-11 22:00,22.5
1945336,958114,7993,732544,2008-10-11 22:00,21.5
1945323,958101,8058,732537,2008-10-11 22:00,8.5
1945317,958095,7969,732533,2008-10-11 22:00,8.5
1945315,958093,28603,732530,2008-10-11 22:00,8.5
1945310,958088,8061,732525,2008-10-11 22:00,8.5
1945302,958080,7964,732521,2008-10-11 22:00,8.5
1945295,958073,8057,732516,2008-10-11 22:00,9.5
958093,958093,8059,732530,2008-10-11 22:00,22.5
1945351,958129,8057,732554,2008-10-11 22:00,9.5
958114,958114,8025,732544,2008-10-11 22:00,8.5
1945353,958131,7964,732557,2008-10-11 22:00,8.5
1945358,958136,5344,732567,2008-10-11 22:00,8.5
1945363,958141,7969,732570,2008-10-11 22:00,8.5
1945366,958144,8058,732572,2008-10-11 22:00,8.5
1945370,958148,7993,732577,2008-10-11 22:00,21.5
1945372,958150,7391,732579,2008-10-11 22:00,22.5
1946447,959225,1632,35358,2008-10-17 22:00,36.5
959269,959269,1632,35392,2008-10-17 22:00,36.5
1948108,960886,3672,519165,2008-10-19 19:00,66.5
960882,960882,3672,471025,2008-10-19 19:00,66.5
962321,962321,760,1063984,2008-10-25 15:00,14.5
962326,962326,760,1063988,2008-10-25 15:00,14.5
1951968,964746,828,527062,2008-11-01 19:00,33.5
964746,964746,828,527062,2008-11-01 19:00,33.5
965581,965581,461,35340,2008-11-03 23:00,40.5
965592,965592,461,35302,2008-11-03 23:00,40.5
1952814,965592,1662,35302,2008-11-03 23:00,18.5
1952803,965581,1662,35340,2008-11-03 23:00,18.5
966857,966857,828,527079,2008-11-08 19:00,35.5
1954079,966857,828,527079,2008-11-08 19:00,35.5
969789,969789,7762,449081,2008-11-16 19:30,60.5
969788,969788,7762,519220,2008-11-16 19:30,60.5
971277,971277,4042,1084952,2008-11-23 15:00,43.5
1958518,971296,4042,212180,2008-11-23 15:00,43.5
1960594,973372,828,527107,2008-12-03 21:10,38.5
973372,973372,828,527107,2008-12-03 21:10,38.5
1960602,973380,17847,626773,2008-12-03 23:00,17.5
973380,973380,17847,626773,2008-12-03 23:00,17.5
1961317,974095,828,527112,2008-12-06 19:00,40.5
974095,974095,828,527112,2008-12-06 19:00,40.5
1962377,975155,1662,35225,2008-12-13 15:00,25.5
975150,975150,1662,35223,2008-12-13 15:00,25.5
1962701,975479,63405,1512137,2008-12-13 23:00,11.5
975470,975470,63405,1512132,2008-12-13 23:00,11.5
975477,975477,63403,1512136,2008-12-13 23:00,11.5
1962692,975470,63403,1512132,2008-12-13 23:00,11.5
976064,976064,18599,663679,2008-12-18 23:00,13.5
1963286,976064,18652,663679,2008-12-18 23:00,13.5
1963287,976065,18599,663680,2008-12-18 23:00,13.5
976065,976065,18652,663680,2008-12-18 23:00,13.5
977553,977553,17439,596813,2008-12-31 23:00,22.5
977550,977550,17392,596809,2008-12-31 23:00,24.5
1964774,977552,17439,596812,2008-12-31 23:00,22.5
1964777,977555,17392,596815,2008-12-31 23:00,24.5
814190,814190,17847,626826,2009-02-05 23:00,35.5
1801412,814190,17847,626826,2009-02-05 23:00,35.5
1804543,817321,11246,660396,2009-02-15 9:00,55.5
1804541,817319,11246,660392,2009-02-15 9:00,55.5
1805888,818666,27190,1044550,2009-02-20 23:00,2.5
1805890,818668,27190,1044553,2009-02-20 23:00,2.5
819766,819766,828,528801,2009-02-22 19:00,45.5
1806988,819766,828,528801,2009-02-22 19:00,45.5
820396,820396,27190,1044555,2009-02-27 23:00,4.5
820395,820395,27190,1044554,2009-02-27 23:00,4.5
823289,823289,63407,1512167,2009-03-07 23:00,15.5
1810511,823289,5334,1512167,2009-03-07 23:00,15.5
823286,823286,5334,1512164,2009-03-07 23:00,15.5
1810510,823288,63407,1512166,2009-03-07 23:00,15.5
1810541,823319,11246,660418,2009-03-08 9:30,59.5
1810540,823318,11246,660416,2009-03-08 9:30,59.5
1810950,823728,828,528823,2009-03-08 20:00,47.5
823728,823728,828,528823,2009-03-08 20:00,47.5
825514,825514,27190,1044559,2009-03-14 23:00,6.5
825512,825512,27190,1044557,2009-03-14 23:00,6.5
1812793,825571,11246,660435,2009-03-15 10:00,61.5
1812792,825570,11246,660433,2009-03-15 10:00,61.5
826331,826331,4754,1096650,2009-03-18 18:30,58.5
826327,826327,4754,131614,2009-03-18 18:30,58.5
828198,828198,828,528842,2009-03-22 19:00,50.5
1815420,828198,828,528842,2009-03-22 19:00,50.5
830968,830968,5428,324809,2009-04-03 22:00,56.5
1818167,830945,5428,204368,2009-04-03 22:00,56.5
1819232,832010,7812,905015,2009-04-04 22:00,71.5
1819402,832180,7812,1018894,2009-04-04 22:00,71.5
834629,834629,11246,660475,2009-04-12 8:30,67.5
1821850,834628,11246,660472,2009-04-12 8:30,67.5
1822127,834905,828,528866,2009-04-12 19:00,53.5
834905,834905,828,528866,2009-04-12 19:00,53.5
837135,837135,11246,660489,2009-04-19 8:30,69.5
1824357,837135,11246,660489,2009-04-19 8:30,69.5
837849,837849,6538,332090,2009-04-22 13:00,40.5
837852,837852,6538,332093,2009-04-22 13:00,40.5
1826290,839068,1278,783831,2009-04-25 16:00,95.5
1826267,839045,1278,258402,2009-04-25 16:00,95.5
1832506,845284,8210,808040,2009-05-08 22:00,49.5
845341,845341,8210,280478,2009-05-08 22:00,49.5
845432,845432,11246,660536,2009-05-09 9:00,75.5
845434,845434,11246,660540,2009-05-09 9:00,75.5
1833133,845911,828,529007,2009-05-09 19:00,58.5
845911,845911,828,529007,2009-05-09 19:00,58.5
849885,849885,17902,629332,2009-05-23 23:00,43.5
1837107,849885,17902,629332,2009-05-23 23:00,43.5
850219,850219,828,529034,2009-05-24 18:00,61.5
1837441,850219,828,529034,2009-05-24 18:00,61.5
850347,850347,16646,565104,2009-05-25 22:00,23.5
1837568,850346,16646,565103,2009-05-25 22:00,23.5
1839323,852101,8210,808106,2009-06-05 22:00,57.5
852111,852111,8210,280512,2009-06-05 22:00,57.5
852750,852750,11246,660560,2009-06-10 9:00,81.5
852751,852751,11246,660561,2009-06-10 9:00,81.5
1840128,852906,15794,538411,2009-06-12 21:30,23.5
1840127,852905,15794,538408,2009-06-12 21:30,23.5
852905,852905,15753,538408,2009-06-12 21:30,22.5
852906,852906,15753,538411,2009-06-12 21:30,22.5
853176,853176,828,529048,2009-06-13 18:00,64.5
1840398,853176,828,529048,2009-06-13 18:00,64.5
853924,853924,11246,660573,2009-06-21 9:00,85.5
853926,853926,11246,660575,2009-06-21 9:00,85.5
854227,854227,27190,1044565,2009-06-26 22:00,9.5
1841449,854227,27190,1044565,2009-06-26 22:00,9.5
854396,854396,11246,660580,2009-06-28 9:00,87.5
854395,854395,11246,660579,2009-06-28 9:00,87.5
855182,855182,27190,1044574,2009-07-10 22:00,15.5
1842404,855182,27190,1044574,2009-07-10 22:00,15.5
856292,856292,11246,660610,2009-07-25 9:00,95.5
1843514,856292,11246,660610,2009-07-25 9:00,95.5
1845004,857782,11246,660619,2009-08-02 9:00,97.5
857780,857780,11246,660617,2009-08-02 9:00,97.5
1845282,858060,17902,629380,2009-08-03 0:15,61.5
858060,858060,17902,629380,2009-08-03 0:15,61.5
859020,859020,11246,660625,2009-08-09 8:30,99.5
859018,859018,11246,660623,2009-08-09 8:30,99.5
860581,860581,17902,629390,2009-08-15 21:00,66.5
860582,860582,17902,629391,2009-08-15 21:00,66.5
1847831,860609,11246,660634,2009-08-15 22:00,101.5
1847829,860607,11246,660632,2009-08-15 22:00,101.5
862625,862625,11246,660638,2009-08-22 22:00,103.5
862628,862628,11246,660641,2009-08-22 22:00,103.5
863950,863950,8724,760308,2009-08-29 13:00,51.5
1851126,863904,8724,764739,2009-08-29 13:00,51.5
864356,864356,1278,783898,2009-08-29 16:00,111.5
1851571,864349,1278,772373,2009-08-29 16:00,111.5
864574,864574,828,527319,2009-08-29 18:00,67.5
1851796,864574,828,527319,2009-08-29 18:00,67.5
1851842,864620,111,533626,2009-08-29 20:00,92.5
864621,864621,111,629398,2009-08-29 20:00,92.5
1852900,865678,4042,1079409,2009-09-02 15:00,72.5
1852908,865686,4042,1079417,2009-09-02 15:00,72.5
1853056,865834,358,865914,2009-09-04 14:00,34.5
1853053,865831,358,865911,2009-09-04 14:00,34.5
1854303,867081,29782,955581,2009-09-06 16:00,61.5
867081,867081,29782,955581,2009-09-06 16:00,61.5
867517,867517,358,865922,2009-09-11 14:00,36.5
867514,867514,358,865919,2009-09-11 14:00,36.5
867818,867818,8724,760366,2009-09-12 13:00,55.5
1855058,867836,8724,764756,2009-09-12 13:00,55.5
868271,868271,1278,783916,2009-09-12 16:00,114.5
1855485,868263,1278,772391,2009-09-12 16:00,114.5
868549,868549,111,629410,2009-09-12 20:00,96.5
868553,868553,111,533706,2009-09-12 20:00,96.5
869189,869189,29782,955626,2009-09-13 16:00,63.5
1856410,869188,29782,955622,2009-09-13 16:00,63.5
1857070,869848,358,865932,2009-09-18 14:00,39.5
1857069,869847,358,865931,2009-09-18 14:00,39.5
869989,869989,27190,1044576,2009-09-18 22:00,18.5
869991,869991,27190,1044578,2009-09-18 22:00,18.5
1858933,871711,828,527547,2009-09-20 19:00,70.5
871711,871711,828,527547,2009-09-20 19:00,70.5
872470,872470,358,865940,2009-09-25 14:00,41.5
872467,872467,358,865937,2009-09-25 14:00,41.5
872612,872612,27190,1044581,2009-09-25 22:00,20.5
872611,872611,27190,1044580,2009-09-25 22:00,20.5
1862022,874800,358,865944,2009-10-02 12:00,43.5
1862029,874807,358,865951,2009-10-02 12:00,43.5
1862747,875525,2108,35806,2009-10-03 14:00,84.5
875423,875423,2108,40068,2009-10-03 14:00,84.5
1863022,875800,828,527632,2009-10-03 19:30,73.5
875800,875800,828,527632,2009-10-03 19:30,73.5
1863646,876424,29782,955806,2009-10-04 15:00,70.5
1863643,876421,29782,955800,2009-10-04 15:00,70.5
876782,876782,358,865959,2009-10-06 12:00,45.5
876779,876779,358,865956,2009-10-06 12:00,45.5
1864047,876825,2102,35761,2009-10-06 18:45,53.5
1864048,876826,2102,35762,2009-10-06 18:45,53.5
1864330,877108,358,865967,2009-10-09 12:00,47.5
1864331,877109,358,865968,2009-10-09 12:00,47.5
877200,877200,27190,1044586,2009-10-09 22:00,24.5
877198,877198,27190,1044584,2009-10-09 22:00,24.5
877367,877367,8724,760475,2009-10-10 13:00,63.5
1864614,877392,8724,764876,2009-10-10 13:00,63.5
1865686,878464,12652,487687,2009-10-11 19:00,75.5
1865696,878474,12652,406466,2009-10-11 19:00,75.5
878905,878905,358,865975,2009-10-16 12:00,49.5
878909,878909,358,865978,2009-10-16 12:00,49.5
1866773,879551,1749,52323,2009-10-17 14:00,72.5
879580,879580,1749,35709,2009-10-17 14:00,72.5
881091,881091,828,527768,2009-10-21 23:30,76.5
1868313,881091,828,527768,2009-10-21 23:30,76.5
1868461,881239,358,865985,2009-10-23 12:00,51.5
1868463,881241,358,865987,2009-10-23 12:00,51.5
882176,882176,1278,772432,2009-10-24 16:00,121.5
1869396,882174,1278,783943,2009-10-24 16:00,121.5
883561,883561,828,527878,2009-10-28 21:10,78.5
1870783,883561,828,527878,2009-10-28 21:10,78.5
883724,883724,358,865997,2009-10-30 13:00,53.5
883721,883721,358,865994,2009-10-30 13:00,53.5
1871061,883839,27190,1044592,2009-10-30 23:00,28.5
883838,883838,27190,1044591,2009-10-30 23:00,28.5
1872444,885222,29782,955950,2009-11-01 16:00,78.5
1872443,885221,29782,955946,2009-11-01 16:00,78.5
885344,885344,828,527958,2009-11-01 19:00,80.5
1872566,885344,828,527958,2009-11-01 19:00,80.5
1872993,885771,358,866002,2009-11-06 12:00,55.5
1872994,885772,358,866003,2009-11-06 12:00,55.5
1873135,885913,27190,1044595,2009-11-06 23:00,30.5
885913,885913,27190,1044595,2009-11-06 23:00,30.5
1873948,886726,828,527967,2009-11-07 19:00,82.5
886726,886726,828,527967,2009-11-07 19:00,82.5
889150,889150,358,866021,2009-11-17 12:00,59.5
1876372,889150,358,866021,2009-11-17 12:00,59.5
1876599,889377,358,866026,2009-11-20 12:00,61.5
1876606,889384,358,866033,2009-11-20 12:00,61.5
890576,890576,29782,956060,2009-11-22 15:00,84.5
890578,890578,29782,956064,2009-11-22 15:00,84.5
1879962,892740,18412,655719,2009-12-03 23:00,46.5
1879963,892741,18412,655723,2009-12-03 23:00,46.5
892860,892860,18416,655727,2009-12-04 23:00,22.5
892861,892861,18416,655729,2009-12-04 23:00,22.5
1881124,893902,828,528179,2009-12-06 19:00,85.5
893902,893902,828,528179,2009-12-06 19:00,85.5
893956,893956,18416,655743,2009-12-06 23:00,24.5
893958,893958,18416,655747,2009-12-06 23:00,24.5
1881219,893997,18411,655749,2009-12-07 23:00,49.5
1881221,893999,18411,655754,2009-12-07 23:00,49.5
1881310,894088,18409,655758,2009-12-08 23:00,49.5
1881309,894087,18409,655756,2009-12-08 23:00,49.5
895242,895242,29782,956136,2009-12-13 15:00,89.5
895243,895243,29782,956140,2009-12-13 15:00,89.5
502277,502277,17847,626894,2010-01-08 23:00,54.5
1489500,502278,17847,626895,2010-01-08 23:00,54.5
502322,502322,2276,10319167,2010-01-09 12:45,97.5
1489545,502323,2276,10319169,2010-01-09 12:45,97.5
1490065,502843,2276,10319461,2010-01-13 12:45,99.5
502842,502842,2276,10319459,2010-01-13 12:45,99.5
503080,503080,2276,10319467,2010-01-16 12:45,101.5
1490300,503078,2276,10319464,2010-01-16 12:45,101.5
503497,503497,29782,956329,2010-01-17 11:00,99.5
1490719,503497,29782,956329,2010-01-17 11:00,99.5
1491138,503916,2276,10319443,2010-01-19 12:45,103.5
503921,503921,2276,10319476,2010-01-19 12:45,103.5
1492006,504784,828,528867,2010-01-23 21:00,89.5
504784,504784,828,528867,2010-01-23 21:00,89.5
1494402,507180,7681,1021045,2010-02-03 22:30,81.5
1494399,507177,7681,1011536,2010-02-03 22:30,81.5
1494996,507774,1278,772531,2010-02-06 17:00,137.5
507788,507788,1278,784004,2010-02-06 17:00,137.5
507939,507939,828,529156,2010-02-06 21:00,92.5
1495161,507939,828,529156,2010-02-06 21:00,92.5
508635,508635,2276,10319411,2010-02-09 12:45,108.5
508636,508636,2276,10319413,2010-02-09 12:45,108.5
1497155,509933,29782,956510,2010-02-14 15:30,107.5
1497157,509935,29782,956519,2010-02-14 15:30,107.5
510367,510367,3672,1020728,2010-02-17 22:30,169.5
510359,510359,3672,517737,2010-02-17 22:30,169.5
511825,511825,63404,1512300,2010-02-22 23:00,37.5
1499046,511824,63404,1512295,2010-02-22 23:00,37.5
1500009,512787,1278,783990,2010-02-27 17:00,141.5
512775,512775,1278,772558,2010-02-27 17:00,141.5
512982,512982,5229,1511201,2010-02-27 23:00,14.5
1500204,512982,5258,1511201,2010-02-27 23:00,35.5
1500208,512986,5258,1511212,2010-02-27 23:00,35.5
512984,512984,5229,1511210,2010-02-27 23:00,14.5
514319,514319,2276,10319418,2010-03-06 12:45,110.5
1501538,514316,2276,10319387,2010-03-06 12:45,110.5
515020,515020,828,529474,2010-03-06 21:00,97.5
1502242,515020,828,529474,2010-03-06 21:00,97.5
1502275,515053,16255,554386,2010-03-06 23:00,5.5
515054,515054,16255,554387,2010-03-06 23:00,5.5
1503816,516594,2276,10319394,2010-03-13 12:45,112.5
516598,516598,2276,10319402,2010-03-13 12:45,112.5
517237,517237,6962,670829,2010-03-13 20:00,155.5
517248,517248,6962,693347,2010-03-13 20:00,155.5
518089,518089,10982,517937,2010-03-14 22:00,155.5
1505318,518096,10982,1038372,2010-03-14 22:00,155.5
518799,518799,358,866107,2010-03-19 13:00,69.5
518796,518796,358,866101,2010-03-19 13:00,69.5
1506113,518891,17146,583416,2010-03-19 18:00,55.5
518891,518891,17146,583416,2010-03-19 18:00,55.5
519915,519915,16255,554389,2010-03-20 23:00,7.5
1507142,519920,16255,554394,2010-03-20 23:00,7.5
1507860,520638,15602,520476,2010-03-21 20:00,39.5
1507858,520636,15602,520474,2010-03-21 20:00,39.5
1508224,521002,17847,626932,2010-03-23 23:00,62.5
521002,521002,17847,626932,2010-03-23 23:00,62.5
1508760,521538,358,866119,2010-03-26 13:00,71.5
1508757,521535,358,866113,2010-03-26 13:00,71.5
521688,521688,18123,649876,2010-03-27 6:00,62.5
521694,521694,18123,652258,2010-03-27 6:00,62.5
1509133,521911,5428,202605,2010-03-27 14:00,113.5
1509167,521945,5428,324955,2010-03-27 14:00,113.5
523459,523459,15619,520631,2010-03-28 21:00,44.5
1510681,523459,15619,520631,2010-03-28 21:00,44.5
524367,524367,358,866139,2010-04-02 14:00,73.5
524368,524368,358,866140,2010-04-02 14:00,73.5
1512462,525240,1278,772615,2010-04-03 16:30,152.5
1512465,525243,1278,784016,2010-04-03 16:30,152.5
525315,525315,9698,670790,2010-04-03 18:30,100.5
1512548,525326,9698,1002551,2010-04-03 18:30,100.5
525392,525392,16255,554377,2010-04-03 22:00,9.5
1512614,525392,16255,554377,2010-04-03 22:00,9.5
